ID_Tiket,Tanggal_Penerbangan,Rute,Jarak_km,Cuaca_Keberangkatan,Status_Penerbangan,Waktu_Delay_Menit,Kelas_Kabin,Akses_Lounge,Berat_Bagasi_kg,Harga_Tiket_IDR,Rating_Kepuasan
TKT-2458591,2026-03-14,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,9,144000,9
TKT-8038374,2026-01-24,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,5,1680000,9
TKT-6708456,2025-10-01,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Business,Ya,25,2898000,10
TKT-6770619,2025-11-03,Jakarta - Medan (CGK-KNO),1400,Cerah,Delayed,116,Economy,Tidak,17,1680000,4
TKT-5918715,2026-03-26,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,8,1680000,8
TKT-4823498,2025-06-01,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,7,144000,7
TKT-7120868,2025-09-15,Jakarta - Medan (CGK-KNO),1400,Badai Petir,Cancelled,0,Business,Ya,32,5880000,2
TKT-3871230,2025-06-14,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Economy,Tidak,7,828000,9
TKT-1938483,2025-11-20,Jakarta - Makassar (CGK-UPG),1400,Hujan Sedang,On Time,0,Economy,Tidak,12,1680000,9
TKT-4567281,2025-11-25,Jakarta - Surabaya (CGK-SUB),690,Hujan Sedang,Delayed,132,Economy,Tidak,11,828000,4
TKT-5137722,2026-02-23,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,9,144000,8
TKT-3320821,2026-01-13,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,17,144000,8
TKT-8082668,2026-02-13,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Business,Ya,24,5880000,10
TKT-1192619,2025-07-26,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,First Class,Ya,46,11760000,10
TKT-8294150,2025-12-06,Bali - Lombok (DPS-LOP),120,Hujan Sedang,Delayed,167,Business,Ya,30,504000,3
TKT-6007072,2026-03-12,Jakarta - Surabaya (CGK-SUB),690,Cerah,Delayed,97,First Class,Ya,35,5796000,8
TKT-1009594,2025-08-07,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,10,144000,9
TKT-5041154,2026-04-06,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Business,Ya,29,5880000,8
TKT-8973915,2025-06-02,Jakarta - Makassar (CGK-UPG),1400,Badai Petir,Delayed,210,Economy,Tidak,9,1680000,2
TKT-4374754,2025-05-17,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,11,1680000,9
TKT-4769795,2025-12-30,Bali - Lombok (DPS-LOP),120,Cerah,Delayed,125,Economy,Tidak,19,144000,2
TKT-1987737,2026-03-30,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,12,1176000,7
TKT-9143903,2025-05-28,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Economy,Tidak,12,828000,8
TKT-7829332,2025-09-05,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Business,Ya,35,2898000,8
TKT-2651177,2026-04-08,Jakarta - Surabaya (CGK-SUB),690,Cerah,On Time,0,Economy,Tidak,18,828000,8
TKT-9997381,2026-01-28,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Business,Ya,27,4116000,8
TKT-2642635,2025-07-28,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Economy,Tidak,7,360000,8
TKT-7818496,2026-02-09,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,7,1176000,7
TKT-7550190,2026-05-04,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Business,Ya,25,1260000,9
TKT-5977931,2026-01-28,Jakarta - Medan (CGK-KNO),1400,Badai Petir,Cancelled,0,Economy,Tidak,20,1680000,1
TKT-8999183,2025-07-10,Jakarta - Surabaya (CGK-SUB),690,Badai Petir,Delayed,199,Economy,Tidak,6,828000,2
TKT-2140194,2025-07-05,Jakarta - Makassar (CGK-UPG),1400,Badai Petir,Delayed,104,Economy,Tidak,10,1680000,4
TKT-8033426,2026-03-25,Bali - Lombok (DPS-LOP),120,Hujan Sedang,Delayed,175,Economy,Tidak,6,144000,4
TKT-5004485,2025-11-26,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Business,Ya,26,504000,10
TKT-8688755,2026-05-01,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,15,1680000,7
TKT-3222252,2025-12-21,Jakarta - Makassar (CGK-UPG),1400,Badai Petir,Cancelled,0,Economy,Tidak,11,1680000,3
TKT-6075395,2025-05-10,Jakarta - Medan (CGK-KNO),1400,Hujan Sedang,Delayed,124,Economy,Tidak,19,1680000,4
TKT-3253031,2026-03-13,Jakarta - Makassar (CGK-UPG),1400,Badai Petir,Cancelled,0,Economy,Tidak,14,1680000,3
TKT-4533779,2025-06-30,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,13,1680000,8
TKT-2548511,2026-04-09,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Business,Ya,35,504000,9
TKT-3710895,2025-12-22,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,9,144000,9
TKT-3500715,2025-05-17,Bali - Lombok (DPS-LOP),120,Cerah,On Time,0,Economy,Tidak,8,144000,7
TKT-6171716,2026-04-14,Jakarta - Makassar (CGK-UPG),1400,Cerah,On Time,0,Economy,Tidak,18,1680000,7
TKT-2724590,2025-12-29,Jakarta - Medan (CGK-KNO),1400,Hujan Sedang,Delayed,40,Business,Ya,26,5880000,9
TKT-3970445,2026-02-11,Jakarta - Medan (CGK-KNO),1400,Hujan Sedang,Delayed,134,First Class,Ya,34,11760000,4
TKT-5476257,2025-12-29,Surabaya - Bali (SUB-DPS),300,Cerah,On Time,0,Economy,Tidak,18,360000,9
TKT-8722606,2026-01-23,Jakarta - Surabaya (CGK-SUB),690,Hujan Sedang,On Time,0,Business,Ya,35,2898000,8
TKT-7685149,2026-01-27,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,5,1680000,9
TKT-7705490,2025-08-18,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Business,Ya,31,5880000,10
TKT-5453786,2025-07-12,Bali - Lombok (DPS-LOP),120,Badai Petir,Delayed,70,Business,Ya,28,504000,5
TKT-9580255,2025-06-29,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,15,1176000,8
TKT-4305700,2025-08-12,Jakarta - Bali (CGK-DPS),980,Cerah,On Time,0,Economy,Tidak,18,1176000,7
TKT-9508103,2025-12-03,Jakarta - Medan (CGK-KNO),1400,Cerah,Delayed,114,Economy,Tidak,8,1680000,6
TKT-7361002,2025-10-02,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,9,1680000,7
TKT-6098175,2026-05-05,Bali - Lombok (DPS-LOP),120,Hujan Sedang,On Time,0,Economy,Tidak,17,144000,9
TKT-8418210,2025-09-21,Jakarta - Medan (CGK-KNO),1400,Cerah,On Time,0,Economy,Tidak,15,1680000,8
